Client,30 Day Check-in,60 Day Check-in,90 Day Check-in,Activation Date,Assigned AM,Assigned CSA,Average MRR,Billing MRR,Client Code,Client_URL,Contract End Date,Contract Start Date,Customer_ID,Graduation Date,Graduation Status,Last CBR Date,Last Contacted Date,Notes / sentiment,Odin MRR,PSA Web MRR,Payments MRR,Payments Rev Share,Projects,Rev.io Product,Status,Tasks,Tigerpaw MRR,Type
CallTower,,,,"September 26, 2017 8:00 PM (EDT)",Rachael Buchtan,Ingrid Beard,"$111,229.91",,CALLTOWER,CALLTOWER,"December 30, 2016 7:00 PM (EST)","December 31, 2013 7:00 PM (EST)",1032,,,"March 19, 2026","May 29, 2026",,,,,,,"Billing, Payments",Active,,,
BCM ONE C/O InvoiceIQ,,,,"March 30, 2014 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$80,277.89",,"CHARLESTONTEL, PRIMARYWAVE, SKYSWITCH, SKYSWITCH_SANDBOX, SKYSWITCHMAIN, TUCTECHNOLOGIES","CHARLESTONTEL, PRIMARYWAVE, SKYSWITCH, SKYSWITCH_SANDBOX, SKYSWITCHMAIN, TUCTECHNOLOGIES","February 24, 2022 7:00 PM (EST)","February 25, 2020 7:00 PM (EST)",1050,,,"November 27, 2024","May 29, 2026",,,,,,,Billing,Active,,,
BCN Telecom,,,,"June 29, 2026 12:53 PM (EDT)",Rachael Buchtan,Ingrid Beard,$0.00,$0.00,BCN,BCN,"June 1, 2026 8:00 PM (EDT)","June 2, 2024 8:00 PM (EDT)",20008,,,"September 9, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Churned,,$0.00,
Spectrotel,,,,"December 31, 2013 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$53,595.75","$52,755.82","SPECTROTEL, SPECTROTEL_NEW1, SPECTROTEL_SANDBOX","SPECTROTEL, SPECTROTEL_NEW1, SPECTROTEL_SANDBOX","May 27, 2018 8:00 PM (EDT)","May 28, 2013 8:00 PM (EDT)",1033,,,"May 18, 2026","May 21, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$372.27,,,"Billing, Payments",Active,,$0.00,
Telesystem,,,,"April 29, 2021 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$43,067.71","$42,843.03","TELESYSTEM, telesystem_SANDBOX","TELESYSTEM, telesystem_SANDBOX","March 30, 2029 8:00 PM (EDT)","March 31, 2026 8:00 PM (EDT)",1376,,,"August 2, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, Payments",Active,,$0.00,
SOTELRESELLER,,,,"September 9, 2026 3:22 AM (EDT)",Rachael Buchtan,Ingrid Beard,$500.00,"$41,734.93",SOTELRESELLER,SOTELRESELLER,"September 9, 2026 3:22 AM (EDT)","September 9, 2026 3:22 AM (EDT)",21033,,,"February 3, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Hunter Communications,,,,"March 29, 2020 8:00 PM (EDT)",Ryan Burton,Jakob Champion,"$43,045.87","$41,258.61","HUNTER, HUNTER_SANDBOX","HUNTER, HUNTER_SANDBOX","February 27, 2027 7:00 PM (EST)","February 29, 2024 7:00 PM (EST)",1334,,,"March 25, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$20,245.28",,,"Billing, Payments",Active,,$0.00,
TPX Communications,,,,"September 9, 2026 3:15 AM (EDT)",Ryan Burton,Justin Lee,"$36,191.88",$0.00,TPX,TPX,"May 21, 2023 8:00 PM (EDT)","May 22, 2022 8:00 PM (EDT)",1471,,,"June 3, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$36,000.00",$0.00,$0.00,,,Odin,Active,,$0.00,
Zultys Business Phone Solutions,,,,"September 9, 2026 3:15 AM (EDT)",Rachael Buchtan,Ingrid Beard,"$35,956.32","$36,808.42",ZULTYS,ZULTYS,"February 26, 2028 7:00 PM (EST)","February 27, 2025 7:00 PM (EST)",20035,,,"January 30, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Broadvoice,,,,"June 24, 2020 8:00 PM (EDT)",Rachael Buchtan,Jakob Champion,"$32,062.40","$26,559.73","BROADVOICE, Broadvoice_QA_Sandbox, BROADVOICE_SANDBOX","BROADVOICE, Broadvoice_QA_Sandbox, BROADVOICE_SANDBOX","August 22, 2021 8:00 PM (EDT)","August 23, 2018 8:00 PM (EDT)",1247,,,"March 23, 2026","May 28, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,489.93",,,Billing,Active,,$0.00,
Viirtue LLC (Apollo),,,,"October 14, 2015 8:00 PM (EDT)",Rachael Buchtan,Katerra Stephenson-Greenwood,"$27,630.74","$24,586.61",SYNTEL,SYNTEL,"June 30, 2028 8:00 PM (EDT)","July 1, 2026 8:00 PM (EDT)",1113,,,"May 13, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
TouchTone,,,,"May 14, 2016 8:00 PM (EDT)",Rachael Buchtan,Jakob Champion,"$29,549.64","$29,198.25","TOUCHTONE, TOUCHTONE_SANDBOX","TOUCHTONE, TOUCHTONE_SANDBOX","May 13, 2019 8:00 PM (EDT)","May 14, 2016 8:00 PM (EDT)",1127,,,"November 19, 2025","May 26, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,004.89",,,"Billing, Payments",Active,,$0.00,
Crexendo Business Solutions,,,,"May 31, 2021 8:00 PM (EDT)",Rachael Buchtan,Ingrid Beard,"$30,779.45","$30,648.61","CREXENDO, CREXENDONS_SANDBOX, CREXENDOSANDBOX","CREXENDO, CREXENDONS_SANDBOX, CREXENDOSANDBOX","May 30, 2024 8:00 PM (EDT)","May 31, 2021 8:00 PM (EDT)",1388,,,"April 7, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, Payments",Active,,$0.00,
TeleVoips,,,,"January 7, 2019 7:00 PM (EST)",Sarah McGovern,Katerra Stephenson-Greenwood,"$4,916.59","$4,857.08",TELEVOIPS,TELEVOIPS,"December 30, 2027 7:00 PM (EST)","December 31, 2024 7:00 PM (EST)",1249,,,"January 27, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$843.86,,,"Billing, Payments",Active,,$0.00,
"Tailwinds Voice & Data, Inc.","May 17, 2026","June 16, 2026","July 16, 2026","December 30, 2014 7:00 PM (EST)",Ryan Burton,Jakob Champion,"$31,000.00","$30,500.00","TAILWINDS_SANDBOX, WORX1, WORX1PSA","TAILWINDS_SANDBOX, WORX1, WORX1PSA","March 30, 2029 8:00 PM (EDT)","March 31, 2026 8:00 PM (EDT)",1084,"April 17, 2026",,"June 5, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, PSA Web",Active,,$0.00,
Cloudli Communications,,,,"January 5, 2025 7:00 PM (EST)",Ryan Burton,Ingrid Beard,"$27,859.03","$27,175.32",CLOUDLI,CLOUDLI,"January 4, 2028 7:00 PM (EST)","January 5, 2025 7:00 PM (EST)",21950,,,"May 22, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
SpectrumVoIP,,,,"December 25, 2023 7:00 PM (EST)",Ryan Burton,Justin Lee,"$28,973.75","$28,608.93","SPECTRUM, SPECTRUM (1510)","SPECTRUM, SPECTRUM (1510)","December 24, 2026 7:00 PM (EST)","December 25, 2023 7:00 PM (EST)",1510,,,"June 2, 2026","June 3, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$5,221.47",,,Billing,Active,,$0.00,
"South Carolina Telecommunications Group Holdings, LLC",,,,"November 8, 2022 7:00 PM (EST)",Ryan Burton,Justin Lee,"$27,049.84",$0.00,SEGRAPBS,SEGRAPBS,"December 2, 2024 7:00 PM (EST)","December 3, 2023 7:00 PM (EST)",1461,,,"December 19, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$26,780.00",$0.00,$0.00,,,Odin,Active,,$0.00,
"Mango Voice, LLC",,,,"October 30, 2023 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$28,322.97",,MANGO,MANGO,"August 26, 2028 8:00 PM (EDT)","August 27, 2025 8:00 PM (EDT)",21011,,,"January 20, 2026",,,,,,,,Billing,Active,,,
XMission,"April 24, 2026","May 24, 2026","June 23, 2026","December 15, 2019 7:00 PM (EST)",Rachael Buchtan,Jakob Champion,"$25,194.11","$23,179.63","XMISSION, xmission_SANDBOX, XMISSIONPSA","XMISSION, xmission_SANDBOX, XMISSIONPSA","June 10, 2022 8:00 PM (EDT)","June 11, 2019 8:00 PM (EDT)",1319,"March 25, 2026",Graduated,"June 24, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,"$1,800.00","$12,513.11",,,"Billing, PSA Web, Payments",Active,,$0.00,
CCI Network Services,,,,"May 12, 2020 8:00 PM (EDT)",Rachael Buchtan,Jakob Champion,"$22,743.05","$22,694.25",CCI,CCI,"May 11, 2023 8:00 PM (EDT)","May 12, 2020 8:00 PM (EDT)",1253,,,"November 19, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$26.36,,,"Billing, Payments",Active,,$0.00,
"Coeo Solutions, LLC.",,,,"September 28, 2017 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$22,168.74","$21,555.82","COEO, COEO_SANDBOX","COEO, COEO_SANDBOX","March 7, 2029 7:00 PM (EST)","March 8, 2026 8:00 PM (EDT)",1158,,,"January 28, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, Payments",Active,,$0.00,
PS Lightwave LLC Operating Account,,,,"July 9, 2017 8:00 PM (EDT)",Ryan Burton,Ingrid Beard,"$22,785.40",,"IPGLOBAL, IPGLOBAL_SANDBOX","IPGLOBAL, IPGLOBAL_SANDBOX","August 26, 2026 8:00 PM (EDT)","August 27, 2023 8:00 PM (EDT)",1169,,,"May 5, 2023",,,,,,,,Billing,Active,,,
Consolidated Communications,,,,"September 9, 2026 3:15 AM (EDT)",Ryan Burton,Justin Lee,"$19,365.41",$0.00,CONSOLIDATEDPBS,CONSOLIDATEDPBS,"June 3, 2024 8:00 PM (EDT)","June 4, 2023 8:00 PM (EDT)",1443,,,"May 8, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$18,445.00",$0.00,$0.00,,,Odin,Active,,$0.00,
Evolution Voice Inc,,,,"September 9, 2026 3:16 AM (EDT)",,Ingrid Beard,"$13,114.50",$0.00,EVOLUTIONVOICEPBS,EVOLUTIONVOICEPBS,"February 10, 2027 7:00 PM (EST)","February 11, 2025 7:00 PM (EST)",1445,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$7,553.56",$0.00,$0.00,,,Odin,Active,,$0.00,
Clear Rate Communications,,,,"December 30, 2020 7:00 PM (EST)",Ryan Burton,Jakob Champion,"$20,988.53","$20,991.66","CLEARRATE, CLEARRATE_SANDBOX, CLEARRATE_TEST","CLEARRATE, CLEARRATE_SANDBOX, CLEARRATE_TEST","November 18, 2020 7:00 PM (EST)","November 19, 2017 7:00 PM (EST)",1195,,,"January 20, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,146.90",,,"Billing, Payments",Active,,$0.00,
Xchange Telecom,,,,"December 31, 2013 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$20,404.28","$20,263.78","XCHANGE, ZONEVIEW","XCHANGE, ZONEVIEW","February 3, 2018 7:00 PM (EST)","February 4, 2015 7:00 PM (EST)",1042,,,"September 10, 2025","May 27, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,104.10",,,Billing,Active,,$0.00,
All Covered,,,,"March 30, 2022 8:00 PM (EDT)",Ryan Burton,Jakob Champion,"$19,908.97","$15,640.12","ALLCOVERED, AllCovered_SANDBOX, ALLCOVEREDPBS","ALLCOVERED, AllCovered_SANDBOX, ALLCOVEREDPBS","October 14, 2028 8:00 PM (EDT)","October 15, 2025 8:00 PM (EDT)",1413,,,"September 12, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$4,250.00",$0.00,$0.00,,,"Billing, Odin",Active,,$0.00,
Entel (Technology Bureau Chile),,,,"August 26, 2026 3:16 AM (EDT)",Ryan Burton,,"$12,138.48",$0.00,,,"August 26, 2026 3:16 AM (EDT)","August 26, 2026 3:16 AM (EDT)",1488,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,,Churned,,$0.00,
"S-Net Communications, Inc.",,,,"July 14, 2016 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$19,551.30",,"SNET, SNET_SANDBOX","SNET, SNET_SANDBOX","January 30, 2027 7:00 PM (EST)","January 31, 2026 7:00 PM (EST)",1110,,,"March 25, 2026","May 27, 2026",,,,,,,"Billing, Payments",Active,,,
"Estech Systems, Inc.",,,,"June 27, 2022 8:00 PM (EDT)",Ryan Burton,Ingrid Beard,"$19,728.81",,"ESTECH, ESTECH_SANDBOX","ESTECH, ESTECH_SANDBOX","June 26, 2025 8:00 PM (EDT)","June 27, 2022 8:00 PM (EDT)",1404,,,"March 29, 2024",,,,,,"$13,453.59",,"Billing, Payments",Active,,,
In-Telecom,,,,"August 30, 2023 8:00 PM (EDT)",Ryan Burton,Katerra Stephenson-Greenwood,"$18,515.87","$18,765.98","1501_SANDBOX, INTEL","1501_SANDBOX, INTEL","March 16, 2028 8:00 PM (EDT)","March 17, 2025 8:00 PM (EDT)",1501,,,"March 3, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, Odin",Active,,$0.00,
"Dialog Telecommunications, Inc.",,,,"November 29, 2015 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$18,005.73",,"DIALOG, DIALOG_SANDBOX","DIALOG, DIALOG_SANDBOX","May 20, 2020 8:00 PM (EDT)","May 21, 2017 8:00 PM (EDT)",1064,,,"March 4, 2026",,,,,,,,"Billing, Payments",Active,,,
"Marco, Inc.",,,,"March 30, 2016 8:00 PM (EDT)",Rachael Buchtan,Jakob Champion,"$18,315.18","$18,333.56",MARCO,MARCO,"April 10, 2027 8:00 PM (EDT)","April 11, 2026 8:00 PM (EDT)",1126,,,"September 10, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
"BalsamWest Fibernet, LLC",,,,"August 30, 2015 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$15,523.29",,BALSAMWEST,BALSAMWEST,"December 13, 2024 7:00 PM (EST)","December 14, 2021 7:00 PM (EST)",1089,,,"April 21, 2026",,,,,,,,"Billing, Payments",Active,,,
Ultatel LLC,,,,"May 27, 2014 8:00 PM (EDT)",Rachael Buchtan,Ingrid Beard,"$19,267.04","$18,748.69",TELEPLUS,TELEPLUS,"November 16, 2026 7:00 PM (EST)","November 17, 2025 7:00 PM (EST)",1059,,,"April 16, 2026","May 27, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Charter Communications,,,,"October 6, 2024 8:00 PM (EDT)",Ryan Burton,Ingrid Beard,"$17,500.00",,CHARTER,CHARTER,"October 5, 2027 8:00 PM (EDT)","October 6, 2024 8:00 PM (EDT)",21953,,,"February 25, 2025",,,,,,,,Odin,Active,,,
Altaworx,,,,"December 31, 2013 7:00 PM (EST)",Ryan Burton,Justin Lee,"$18,759.98","$17,575.85","ALTAWORX, ALTAWORX_SANDBOX, CATAPULT_SANDBOX","ALTAWORX, ALTAWORX_SANDBOX, CATAPULT_SANDBOX","May 20, 2026 8:00 PM (EDT)","May 21, 2024 8:00 PM (EDT)",1001,,,"November 11, 2024","June 24, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,199.66",,,"Billing, Payments",Active,,$0.00,
Digicel (Fiji) Limited,,,,"September 9, 2026 3:17 AM (EDT)",Sarah McGovern,,"$3,331.12",$0.00,DigicelPBS,DigicelPBS,"January 23, 2024 7:00 PM (EST)","January 24, 2023 7:00 PM (EST)",1444,,,,,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$3,325.00",$0.00,$0.00,,,Odin,Active,,$0.00,
OpenFiber Kentucky,,,,"January 5, 2021 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$16,586.90","$16,501.65",OPENFIBER,OPENFIBER,"December 29, 2027 7:00 PM (EST)","December 30, 2024 7:00 PM (EST)",1371,,,"April 15, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$128.96,,,"Billing, Payments",Active,,$0.00,
Scipio Technologies,,,,"May 29, 2018 8:00 PM (EDT)",Ryan Burton,Katerra Stephenson-Greenwood,"$17,004.06",$0.00,"PEACE, PEACEODIN, PEACERESELLER","PEACE, PEACEODIN, PEACERESELLER","December 30, 2026 7:00 PM (EST)","December 31, 2023 7:00 PM (EST)",1194,,,"June 4, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$245.48,,,"Billing, Odin, Payments",Active,,$0.00,
Xtel Communications,,,,"September 3, 2024 8:00 PM (EDT)",Ryan Burton,Jakob Champion,"$16,492.36",,"XTEL, XTEL_LEGACY, XTEL_PROFITEC, XTEL_SANDBOX","XTEL, XTEL_LEGACY, XTEL_PROFITEC, XTEL_SANDBOX","September 2, 2027 8:00 PM (EDT)","September 3, 2024 8:00 PM (EDT)",20054,,,"February 18, 2026",,,,,,,,Billing,Active,,,
Titanium Wireless,,,,"February 21, 2019 7:00 PM (EST)",Rachael Buchtan,Ingrid Beard,"$21,804.72","$15,291.29",TITANIUM,TITANIUM,"December 31, 2026 7:00 PM (EST)","December 31, 2023 7:00 PM (EST)",1264,,,"April 4, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,393.46",,,Billing,Active,,$0.00,
TotalCX,,,,"December 11, 2023 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$16,719.70","$16,293.54",TOTALCX,TOTALCX,"December 10, 2026 7:00 PM (EST)","December 11, 2023 7:00 PM (EST)",21003,,,"April 9, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Smart Choice Communications,,,,"March 24, 2020 8:00 PM (EDT)",Ryan Burton,Ardit Berdyna,"$16,376.26","$15,580.06","SMARTCHOICE, smartchoice_SANDBOX","SMARTCHOICE, smartchoice_SANDBOX","June 25, 2027 8:00 PM (EDT)","June 26, 2026 8:00 PM (EDT)",1322,,,"August 19, 2025","May 29, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$135.27,,,"Billing, Payments",Active,,$0.00,
Allied Telecom,,,,"October 26, 2017 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$15,556.14","$15,250.00","ALLIEDTELECOM, ALLIEDTELECOM_SANDBOX","ALLIEDTELECOM, ALLIEDTELECOM_SANDBOX","September 9, 2026 3:16 AM (EDT)","September 9, 2026 3:16 AM (EDT)",1177,,,"February 7, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$616.86,,,"Billing, Payments",Active,,$0.00,
Cincinnati Bell Telephone Company LLC,,,,"September 9, 2026 3:16 AM (EDT)",Ryan Burton,Ingrid Beard,"$15,581.58",,CBTS,CBTS,"March 30, 2026 8:00 PM (EDT)","March 31, 2025 8:00 PM (EDT)",1442,,,,,,,,,,,Odin,Active,,,
MetroSwitch Technologies,,,,"October 24, 2019 8:00 PM (EDT)",Rachael Buchtan,Ingrid Beard,"$14,363.05","$13,581.93","METROSWITCH, METROSWITCHPSA","METROSWITCH, METROSWITCHPSA","September 9, 2026 3:16 AM (EDT)","September 9, 2026 3:16 AM (EDT)",1236,,,"May 20, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$400.00,$0.00,,,"Billing, PSA Web",Active,,$0.00,
Atlanta Datacom Inc.,,,,"November 14, 2017 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$12,692.73",,CTP,CTP,"November 13, 2020 7:00 PM (EST)","November 14, 2017 7:00 PM (EST)",1187,,,"September 11, 2025",,,,,,,,"Billing, Payments",Active,,,
Aseva,,,,"April 7, 2019 8:00 PM (EDT)",Rachael Buchtan,Patrick Davies,"$14,205.36",,"IMPULSE, IMPULSE_SANDBOX, IMPULSEADVDPBS","IMPULSE, IMPULSE_SANDBOX, IMPULSEADVDPBS","June 14, 2026 8:00 PM (EDT)","September 29, 2023 8:00 PM (EDT)",1248,,,"July 22, 2025",,,,,,,,"Billing, Odin, Payments",Active,,,
"Affiliated Technology Solutions, LLC",,,,"August 30, 2022 8:00 PM (EDT)",Rachael Buchtan,Justin Lee,"$15,269.57",,AFFILIATEDTECH,AFFILIATEDTECH,"August 29, 2026 8:00 PM (EDT)","August 30, 2025 8:00 PM (EDT)",1426,,,"July 2, 2026",,,,,,,,Billing,Active,,,
Fuse.Cloud,,,,"March 25, 2021 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$13,017.12","$13,015.90","FUSECLOUD, FUSECLOUDPSA","FUSECLOUD, FUSECLOUDPSA","October 20, 2028 8:00 PM (EDT)","October 21, 2025 8:00 PM (EDT)",1375,,,"March 5, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,796.77",,,"Billing, PSA Web, Payments",Active,,$0.00,
Mach Networks,,,,"April 14, 2019 8:00 PM (EDT)",Ryan Burton,Jakob Champion,"$13,449.22","$12,744.90","MACHNETWORKS, MACHNETWORKS_SANDBOX, MACHNETWORKS_TEST","MACHNETWORKS, MACHNETWORKS_SANDBOX, MACHNETWORKS_TEST","December 6, 2020 7:00 PM (EST)","December 7, 2017 7:00 PM (EST)",1200,,,"March 5, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$501.13,,,"Billing, Payments",Active,,$0.00,
MNJ Technologies,,,,"June 24, 2019 8:00 PM (EDT)",Rachael Buchtan,Justin Lee,"$11,505.12","$11,504.24","MNJ, MNJ_SANDBOX","MNJ, MNJ_SANDBOX","January 7, 2022 7:00 PM (EST)","January 8, 2019 7:00 PM (EST)",1266,,,"July 24, 2025",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$1.05,,,"Billing, Payments",Active,,$0.00,
Broad Sky Networks,,,,"October 21, 2019 8:00 PM (EDT)",Rachael Buchtan,Ingrid Beard,"$12,500.00","$12,500.00",BROADSKY,BROADSKY,"February 27, 2026 7:00 PM (EST)","February 28, 2025 7:00 PM (EST)",1224,,,"April 21, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Lyra Communications,,,,"November 6, 2025 7:00 PM (EST)",Sarah McGovern,Katerra Stephenson-Greenwood,"$11,661.11",,LYRACOMM,LYRACOMM,"November 5, 2030 7:00 PM (EST)","November 6, 2025 7:00 PM (EST)",1085,,,"August 27, 2025",,,,,,,,Billing,Active,,,
